Nano Seconds,Value_of_n
7584ns,1001101 n
4084ns,1001102 n
3334ns,1001103 n
3250ns,1001104 n
3375ns,1001105 n
4083ns,1001106 n
3000ns,1001107 n
7000ns,1001108 n
3916ns,1001109 n
3708ns,1001110 n
4209ns,1001111 n
5083ns,1001112 n
3333ns,1001113 n
4083ns,1001114 n
3375ns,1001115 n
3125ns,1001116 n
3750ns,1001117 n
3292ns,1001118 n
3291ns,1001119 n
2958ns,1001120 n
3500ns,1001121 n
4375ns,1001122 n
3083ns,1001123 n
3291ns,1001124 n
3917ns,1001125 n
4375ns,1001126 n
5667ns,1001127 n
2916ns,1001128 n
3209ns,1001129 n
3250ns,1001130 n
4625ns,1001131 n
4375ns,1001132 n
4750ns,1001133 n
3125ns,1001134 n
3333ns,1001135 n
3208ns,1001136 n
3791ns,1001137 n
3792ns,1001138 n
3167ns,1001139 n
3916ns,1001140 n
6042ns,1001141 n
3292ns,1001142 n
3042ns,1001143 n
2916ns,1001144 n
3125ns,1001145 n
4625ns,1001146 n
4333ns,1001147 n
3666ns,1001148 n
6416ns,1001149 n
3292ns,1001150 n
4541ns,1001151 n
2792ns,1001152 n
2958ns,1001153 n
3917ns,1001154 n
3333ns,1001155 n
3292ns,1001156 n
3417ns,1001157 n
3041ns,1001158 n
3000ns,1001159 n
3708ns,1001160 n
4833ns,1001161 n
4750ns,1001162 n
3167ns,1001163 n
3291ns,1001164 n
5208ns,1001165 n
3416ns,1001166 n
3208ns,1001167 n
3167ns,1001168 n
3959ns,1001169 n
4667ns,1001170 n
5459ns,1001171 n
3334ns,1001172 n
2959ns,1001173 n
3083ns,1001174 n
3625ns,1001175 n
3750ns,1001176 n
3000ns,1001177 n
3292ns,1001178 n
4042ns,1001179 n
4375ns,1001180 n
4375ns,1001181 n
3333ns,1001182 n
2708ns,1001183 n
3208ns,1001184 n
3208ns,1001185 n
3333ns,1001186 n
3625ns,1001187 n
6000ns,1001188 n
4542ns,1001189 n
3083ns,1001190 n
3125ns,1001191 n
2833ns,1001192 n
3792ns,1001193 n
4625ns,1001194 n
3750ns,1001195 n
3042ns,1001196 n
2833ns,1001197 n
3125ns,1001198 n
5208ns,1001199 n
3375ns,1001200 n
5584ns,1001201 n
3375ns,1001202 n
6292ns,1001203 n
3000ns,1001204 n
3625ns,1001205 n
3167ns,1001206 n
3000ns,1001207 n
3375ns,1001208 n
3041ns,1001209 n
3583ns,1001210 n
3125ns,1001211 n
4709ns,1001212 n
5334ns,1001213 n
3417ns,1001214 n
3333ns,1001215 n
2792ns,1001216 n
3166ns,1001217 n
6542ns,1001218 n
2959ns,1001219 n
3667ns,1001220 n
3750ns,1001221 n
7458ns,1001222 n
4333ns,1001223 n
2958ns,1001224 n
2834ns,1001225 n
3500ns,1001226 n
6292ns,1001227 n
2917ns,1001228 n
3625ns,1001229 n
4333ns,1001230 n
3500ns,1001231 n
3541ns,1001232 n
6125ns,1001233 n
3583ns,1001234 n
3417ns,1001235 n
4125ns,1001236 n
2833ns,1001237 n
3583ns,1001238 n
4542ns,1001239 n
3166ns,1001240 n
5042ns,1001241 n
5500ns,1001242 n
3541ns,1001243 n
3292ns,1001244 n
3250ns,1001245 n
4250ns,1001246 n
3042ns,1001247 n
4750ns,1001248 n
3416ns,1001249 n
3459ns,1001250 n
4750ns,1001251 n
3250ns,1001252 n
3709ns,1001253 n
4084ns,1001254 n
3708ns,1001255 n
3375ns,1001256 n
3000ns,1001257 n
2875ns,1001258 n
4583ns,1001259 n
3750ns,1001260 n
5333ns,1001261 n
3042ns,1001262 n
6750ns,1001263 n
3333ns,1001264 n
