Nano Seconds,Value_of_n
2542ns,1097617 n
3333ns,1097618 n
3292ns,1097619 n
2709ns,1097620 n
3791ns,1097621 n
3125ns,1097622 n
3625ns,1097623 n
2917ns,1097624 n
2875ns,1097625 n
3792ns,1097626 n
2500ns,1097627 n
3541ns,1097628 n
2958ns,1097629 n
4125ns,1097630 n
2958ns,1097631 n
2459ns,1097632 n
2500ns,1097633 n
4833ns,1097634 n
2667ns,1097635 n
3791ns,1097636 n
4292ns,1097637 n
3542ns,1097638 n
3083ns,1097639 n
2875ns,1097640 n
6167ns,1097641 n
2750ns,1097642 n
4416ns,1097643 n
3375ns,1097644 n
2750ns,1097645 n
3000ns,1097646 n
8500ns,1097647 n
2833ns,1097648 n
2417ns,1097649 n
3166ns,1097650 n
2583ns,1097651 n
3375ns,1097652 n
2541ns,1097653 n
2791ns,1097654 n
2833ns,1097655 n
2583ns,1097656 n
2583ns,1097657 n
3334ns,1097658 n
3125ns,1097659 n
5875ns,1097660 n
4584ns,1097661 n
3375ns,1097662 n
8167ns,1097663 n
3125ns,1097664 n
3334ns,1097665 n
3250ns,1097666 n
3417ns,1097667 n
3292ns,1097668 n
3292ns,1097669 n
4083ns,1097670 n
6959ns,1097671 n
3375ns,1097672 n
4208ns,1097673 n
3333ns,1097674 n
2583ns,1097675 n
3542ns,1097676 n
6583ns,1097677 n
5708ns,1097678 n
2792ns,1097679 n
2959ns,1097680 n
2833ns,1097681 n
3833ns,1097682 n
6500ns,1097683 n
3458ns,1097684 n
4417ns,1097685 n
2875ns,1097686 n
2250ns,1097687 n
2666ns,1097688 n
4875ns,1097689 n
2792ns,1097690 n
5041ns,1097691 n
2667ns,1097692 n
3583ns,1097693 n
2792ns,1097694 n
4750ns,1097695 n
3041ns,1097696 n
5792ns,1097697 n
3167ns,1097698 n
2583ns,1097699 n
2917ns,1097700 n
3083ns,1097701 n
2709ns,1097702 n
2750ns,1097703 n
3291ns,1097704 n
3041ns,1097705 n
2709ns,1097706 n
2792ns,1097707 n
2542ns,1097708 n
2875ns,1097709 n
2417ns,1097710 n
2833ns,1097711 n
3083ns,1097712 n
5083ns,1097713 n
7042ns,1097714 n
3583ns,1097715 n
3458ns,1097716 n
3250ns,1097717 n
3334ns,1097718 n
3625ns,1097719 n
3208ns,1097720 n
3625ns,1097721 n
3292ns,1097722 n
3375ns,1097723 n
3625ns,1097724 n
3666ns,1097725 n
4209ns,1097726 n
4041ns,1097727 n
1917ns,1097728 n
2583ns,1097729 n
2834ns,1097730 n
4291ns,1097731 n
4417ns,1097732 n
2958ns,1097733 n
3375ns,1097734 n
2708ns,1097735 n
3667ns,1097736 n
3166ns,1097737 n
2583ns,1097738 n
3625ns,1097739 n
2875ns,1097740 n
2500ns,1097741 n
2583ns,1097742 n
2542ns,1097743 n
2667ns,1097744 n
2791ns,1097745 n
2417ns,1097746 n
3125ns,1097747 n
2792ns,1097748 n
3875ns,1097749 n
2833ns,1097750 n
6041ns,1097751 n
2500ns,1097752 n
2416ns,1097753 n
3750ns,1097754 n
4708ns,1097755 n
4416ns,1097756 n
4667ns,1097757 n
5083ns,1097758 n
2542ns,1097759 n
2625ns,1097760 n
2750ns,1097761 n
4000ns,1097762 n
3125ns,1097763 n
2542ns,1097764 n
4542ns,1097765 n
3041ns,1097766 n
2875ns,1097767 n
2625ns,1097768 n
4541ns,1097769 n
4083ns,1097770 n
4583ns,1097771 n
2792ns,1097772 n
5542ns,1097773 n
4417ns,1097774 n
2625ns,1097775 n
2500ns,1097776 n
7208ns,1097777 n
2708ns,1097778 n
4291ns,1097779 n
3834ns,1097780 n
3792ns,1097781 n
3083ns,1097782 n
2458ns,1097783 n
3291ns,1097784 n
2667ns,1097785 n
2583ns,1097786 n
2709ns,1097787 n
4666ns,1097788 n
3500ns,1097789 n
3042ns,1097790 n
2458ns,1097791 n
2166ns,1097792 n
2875ns,1097793 n
2542ns,1097794 n
3250ns,1097795 n
2708ns,1097796 n
2500ns,1097797 n
2584ns,1097798 n
2625ns,1097799 n
2458ns,1097800 n
2667ns,1097801 n
3708ns,1097802 n
2625ns,1097803 n
2458ns,1097804 n
4875ns,1097805 n
2500ns,1097806 n
5042ns,1097807 n
2667ns,1097808 n
2583ns,1097809 n
2917ns,1097810 n
3125ns,1097811 n
2458ns,1097812 n
3833ns,1097813 n
2708ns,1097814 n
3500ns,1097815 n
3500ns,1097816 n
4125ns,1097817 n
2416ns,1097818 n
2541ns,1097819 n
2792ns,1097820 n
9375ns,1097821 n
3250ns,1097822 n
2750ns,1097823 n
2084ns,1097824 n
2667ns,1097825 n
3000ns,1097826 n
2375ns,1097827 n
2542ns,1097828 n
4583ns,1097829 n
3834ns,1097830 n
2417ns,1097831 n
5583ns,1097832 n
2917ns,1097833 n
2416ns,1097834 n
2750ns,1097835 n
2792ns,1097836 n
2250ns,1097837 n
2875ns,1097838 n
2916ns,1097839 n
2792ns,1097840 n
5708ns,1097841 n
4500ns,1097842 n
2542ns,1097843 n
2750ns,1097844 n
3292ns,1097845 n
3542ns,1097846 n
3791ns,1097847 n
4208ns,1097848 n
2375ns,1097849 n
3209ns,1097850 n
2542ns,1097851 n
2500ns,1097852 n
2500ns,1097853 n
2500ns,1097854 n
2708ns,1097855 n
2167ns,1097856 n
3458ns,1097857 n
5125ns,1097858 n
2625ns,1097859 n
2542ns,1097860 n
2334ns,1097861 n
3750ns,1097862 n
3875ns,1097863 n
2417ns,1097864 n
2833ns,1097865 n
2958ns,1097866 n
5209ns,1097867 n
3958ns,1097868 n
2375ns,1097869 n
4959ns,1097870 n
4667ns,1097871 n
3000ns,1097872 n
4833ns,1097873 n
3417ns,1097874 n
2666ns,1097875 n
3042ns,1097876 n
2375ns,1097877 n
3708ns,1097878 n
2500ns,1097879 n
3125ns,1097880 n
4167ns,1097881 n
3208ns,1097882 n
4708ns,1097883 n
2458ns,1097884 n
2625ns,1097885 n
2834ns,1097886 n
2375ns,1097887 n
2291ns,1097888 n
2875ns,1097889 n
2667ns,1097890 n
2416ns,1097891 n
2583ns,1097892 n
2375ns,1097893 n
2792ns,1097894 n
4291ns,1097895 n
2458ns,1097896 n
2417ns,1097897 n
4084ns,1097898 n
3000ns,1097899 n
2791ns,1097900 n
3375ns,1097901 n
2625ns,1097902 n
2542ns,1097903 n
3000ns,1097904 n
2750ns,1097905 n
2375ns,1097906 n
2667ns,1097907 n
3708ns,1097908 n
2333ns,1097909 n
2916ns,1097910 n
2583ns,1097911 n
2541ns,1097912 n
5541ns,1097913 n
2375ns,1097914 n
3292ns,1097915 n
2792ns,1097916 n
7708ns,1097917 n
4208ns,1097918 n
2917ns,1097919 n
2708ns,1097920 n
4750ns,1097921 n
2583ns,1097922 n
2500ns,1097923 n
4167ns,1097924 n
3042ns,1097925 n
2458ns,1097926 n
3917ns,1097927 n
2084ns,1097928 n
4459ns,1097929 n
2583ns,1097930 n
4458ns,1097931 n
2708ns,1097932 n
2459ns,1097933 n
2833ns,1097934 n
2708ns,1097935 n
2750ns,1097936 n
2459ns,1097937 n
2625ns,1097938 n
3916ns,1097939 n
2542ns,1097940 n
2416ns,1097941 n
3750ns,1097942 n
2458ns,1097943 n
3250ns,1097944 n
2541ns,1097945 n
4584ns,1097946 n
2583ns,1097947 n
3792ns,1097948 n
2833ns,1097949 n
2709ns,1097950 n
2500ns,1097951 n
2541ns,1097952 n
2750ns,1097953 n
2833ns,1097954 n
3291ns,1097955 n
2375ns,1097956 n
3750ns,1097957 n
2959ns,1097958 n
5791ns,1097959 n
2708ns,1097960 n
4459ns,1097961 n
2750ns,1097962 n
6500ns,1097963 n
2791ns,1097964 n
2917ns,1097965 n
6833ns,1097966 n
4542ns,1097967 n
4042ns,1097968 n
2875ns,1097969 n
2791ns,1097970 n
4250ns,1097971 n
2500ns,1097972 n
2667ns,1097973 n
2833ns,1097974 n
3417ns,1097975 n
2792ns,1097976 n
4583ns,1097977 n
2458ns,1097978 n
2584ns,1097979 n
3708ns,1097980 n
5750ns,1097981 n
2792ns,1097982 n
2666ns,1097983 n
2250ns,1097984 n
3084ns,1097985 n
4791ns,1097986 n
2584ns,1097987 n
2792ns,1097988 n
2416ns,1097989 n
3958ns,1097990 n
3208ns,1097991 n
2625ns,1097992 n
3334ns,1097993 n
2583ns,1097994 n
2875ns,1097995 n
4125ns,1097996 n
2667ns,1097997 n
2959ns,1097998 n
4708ns,1097999 n
2750ns,1098000 n
4625ns,1098001 n
2417ns,1098002 n
2458ns,1098003 n
3834ns,1098004 n
3125ns,1098005 n
2958ns,1098006 n
4958ns,1098007 n
2541ns,1098008 n
2417ns,1098009 n
2833ns,1098010 n
6250ns,1098011 n
2541ns,1098012 n
2792ns,1098013 n
3917ns,1098014 n
4625ns,1098015 n
2417ns,1098016 n
2292ns,1098017 n
2875ns,1098018 n
2750ns,1098019 n
2125ns,1098020 n
5042ns,1098021 n
2583ns,1098022 n
2375ns,1098023 n
2750ns,1098024 n
5125ns,1098025 n
2500ns,1098026 n
2583ns,1098027 n
3208ns,1098028 n
3250ns,1098029 n
2709ns,1098030 n
4500ns,1098031 n
2792ns,1098032 n
5417ns,1098033 n
4292ns,1098034 n
2708ns,1098035 n
2708ns,1098036 n
2500ns,1098037 n
2583ns,1098038 n
2583ns,1098039 n
3167ns,1098040 n
10917ns,1098041 n
4291ns,1098042 n
2708ns,1098043 n
5750ns,1098044 n
2958ns,1098045 n
2458ns,1098046 n
2500ns,1098047 n
2750ns,1098048 n
3917ns,1098049 n
3083ns,1098050 n
3125ns,1098051 n
6583ns,1098052 n
2459ns,1098053 n
4375ns,1098054 n
3125ns,1098055 n
2709ns,1098056 n
2666ns,1098057 n
4041ns,1098058 n
3708ns,1098059 n
2792ns,1098060 n
4875ns,1098061 n
3458ns,1098062 n
4000ns,1098063 n
2583ns,1098064 n
2500ns,1098065 n
4084ns,1098066 n
2250ns,1098067 n
2416ns,1098068 n
2791ns,1098069 n
2667ns,1098070 n
2792ns,1098071 n
3083ns,1098072 n
2458ns,1098073 n
2417ns,1098074 n
2625ns,1098075 n
2750ns,1098076 n
2375ns,1098077 n
3834ns,1098078 n
6541ns,1098079 n
2417ns,1098080 n
2708ns,1098081 n
3334ns,1098082 n
4333ns,1098083 n
3125ns,1098084 n
2333ns,1098085 n
3125ns,1098086 n
2625ns,1098087 n
5083ns,1098088 n
2875ns,1098089 n
2959ns,1098090 n
2917ns,1098091 n
4833ns,1098092 n
2792ns,1098093 n
5250ns,1098094 n
2541ns,1098095 n
2584ns,1098096 n
2333ns,1098097 n
2333ns,1098098 n
3625ns,1098099 n
3709ns,1098100 n
2416ns,1098101 n
4083ns,1098102 n
3000ns,1098103 n
2417ns,1098104 n
2791ns,1098105 n
7375ns,1098106 n
3916ns,1098107 n
3083ns,1098108 n
2375ns,1098109 n
2875ns,1098110 n
2667ns,1098111 n
2250ns,1098112 n
2708ns,1098113 n
3125ns,1098114 n
2750ns,1098115 n
2417ns,1098116 n
3250ns,1098117 n
2708ns,1098118 n
2333ns,1098119 n
2875ns,1098120 n
2458ns,1098121 n
3584ns,1098122 n
3125ns,1098123 n
2333ns,1098124 n
3375ns,1098125 n
2917ns,1098126 n
4583ns,1098127 n
2459ns,1098128 n
4708ns,1098129 n
4458ns,1098130 n
5208ns,1098131 n
3167ns,1098132 n
2333ns,1098133 n
5584ns,1098134 n
2417ns,1098135 n
2541ns,1098136 n
3917ns,1098137 n
2917ns,1098138 n
3875ns,1098139 n
2750ns,1098140 n
3625ns,1098141 n
2709ns,1098142 n
2875ns,1098143 n
2875ns,1098144 n
2541ns,1098145 n
2584ns,1098146 n
5833ns,1098147 n
4917ns,1098148 n
2208ns,1098149 n
2750ns,1098150 n
2541ns,1098151 n
2583ns,1098152 n
3125ns,1098153 n
3958ns,1098154 n
4041ns,1098155 n
2709ns,1098156 n
3541ns,1098157 n
2709ns,1098158 n
2583ns,1098159 n
2750ns,1098160 n
5875ns,1098161 n
2125ns,1098162 n
2958ns,1098163 n
3292ns,1098164 n
4750ns,1098165 n
2458ns,1098166 n
3417ns,1098167 n
2500ns,1098168 n
5250ns,1098169 n
3833ns,1098170 n
4291ns,1098171 n
3000ns,1098172 n
3500ns,1098173 n
2792ns,1098174 n
2709ns,1098175 n
2208ns,1098176 n
4667ns,1098177 n
2500ns,1098178 n
5625ns,1098179 n
2625ns,1098180 n
2541ns,1098181 n
2708ns,1098182 n
3291ns,1098183 n
2459ns,1098184 n
3333ns,1098185 n
3458ns,1098186 n
2542ns,1098187 n
2625ns,1098188 n
2708ns,1098189 n
2625ns,1098190 n
2500ns,1098191 n
4167ns,1098192 n
2417ns,1098193 n
2417ns,1098194 n
3000ns,1098195 n
2667ns,1098196 n
3250ns,1098197 n
2750ns,1098198 n
5500ns,1098199 n
1875ns,1098200 n
2333ns,1098201 n
3833ns,1098202 n
2542ns,1098203 n
2334ns,1098204 n
4375ns,1098205 n
2459ns,1098206 n
2666ns,1098207 n
2334ns,1098208 n
2708ns,1098209 n
3042ns,1098210 n
2416ns,1098211 n
2958ns,1098212 n
3792ns,1098213 n
2958ns,1098214 n
5166ns,1098215 n
2750ns,1098216 n
2584ns,1098217 n
2458ns,1098218 n
2917ns,1098219 n
2958ns,1098220 n
2458ns,1098221 n
2583ns,1098222 n
5167ns,1098223 n
2542ns,1098224 n
2875ns,1098225 n
4083ns,1098226 n
2791ns,1098227 n
4459ns,1098228 n
2666ns,1098229 n
2584ns,1098230 n
2709ns,1098231 n
2583ns,1098232 n
2459ns,1098233 n
2500ns,1098234 n
2541ns,1098235 n
3042ns,1098236 n
2000ns,1098237 n
2792ns,1098238 n
4916ns,1098239 n
2084ns,1098240 n
5042ns,1098241 n
2542ns,1098242 n
2750ns,1098243 n
3959ns,1098244 n
2500ns,1098245 n
2625ns,1098246 n
4417ns,1098247 n
3292ns,1098248 n
4708ns,1098249 n
2667ns,1098250 n
2500ns,1098251 n
2541ns,1098252 n
2417ns,1098253 n
4917ns,1098254 n
5292ns,1098255 n
3625ns,1098256 n
2250ns,1098257 n
3167ns,1098258 n
2958ns,1098259 n
4500ns,1098260 n
2709ns,1098261 n
2583ns,1098262 n
3167ns,1098263 n
3667ns,1098264 n
2875ns,1098265 n
3959ns,1098266 n
3417ns,1098267 n
2625ns,1098268 n
2542ns,1098269 n
3000ns,1098270 n
2375ns,1098271 n
2542ns,1098272 n
2750ns,1098273 n
4542ns,1098274 n
3000ns,1098275 n
2542ns,1098276 n
4083ns,1098277 n
2542ns,1098278 n
2917ns,1098279 n
2417ns,1098280 n
5459ns,1098281 n
2625ns,1098282 n
3833ns,1098283 n
4042ns,1098284 n
3083ns,1098285 n
2250ns,1098286 n
2458ns,1098287 n
3125ns,1098288 n
4584ns,1098289 n
2750ns,1098290 n
2583ns,1098291 n
2625ns,1098292 n
2500ns,1098293 n
3875ns,1098294 n
2917ns,1098295 n
3875ns,1098296 n
2792ns,1098297 n
2542ns,1098298 n
3625ns,1098299 n
2750ns,1098300 n
2458ns,1098301 n
2750ns,1098302 n
4959ns,1098303 n
4208ns,1098304 n
3542ns,1098305 n
3041ns,1098306 n
2458ns,1098307 n
3166ns,1098308 n
2792ns,1098309 n
2625ns,1098310 n
2542ns,1098311 n
2625ns,1098312 n
2500ns,1098313 n
3333ns,1098314 n
3042ns,1098315 n
2542ns,1098316 n
2125ns,1098317 n
3167ns,1098318 n
2917ns,1098319 n
2500ns,1098320 n
3042ns,1098321 n
2500ns,1098322 n
3625ns,1098323 n
2709ns,1098324 n
2625ns,1098325 n
2583ns,1098326 n
5500ns,1098327 n
2792ns,1098328 n
3959ns,1098329 n
2958ns,1098330 n
2583ns,1098331 n
2417ns,1098332 n
3042ns,1098333 n
2458ns,1098334 n
2666ns,1098335 n
2959ns,1098336 n
3584ns,1098337 n
2500ns,1098338 n
3875ns,1098339 n
2667ns,1098340 n
2541ns,1098341 n
3333ns,1098342 n
3375ns,1098343 n
2958ns,1098344 n
2500ns,1098345 n
2666ns,1098346 n
4917ns,1098347 n
2667ns,1098348 n
3458ns,1098349 n
2583ns,1098350 n
2708ns,1098351 n
2625ns,1098352 n
2375ns,1098353 n
2834ns,1098354 n
3667ns,1098355 n
2583ns,1098356 n
2708ns,1098357 n
4084ns,1098358 n
4042ns,1098359 n
2875ns,1098360 n
2750ns,1098361 n
3666ns,1098362 n
3250ns,1098363 n
2541ns,1098364 n
2666ns,1098365 n
4666ns,1098366 n
6125ns,1098367 n
2208ns,1098368 n
2667ns,1098369 n
2958ns,1098370 n
2333ns,1098371 n
3208ns,1098372 n
2417ns,1098373 n
4125ns,1098374 n
2542ns,1098375 n
4167ns,1098376 n
5667ns,1098377 n
4208ns,1098378 n
2542ns,1098379 n
2542ns,1098380 n
2875ns,1098381 n
2792ns,1098382 n
2750ns,1098383 n
2833ns,1098384 n
2458ns,1098385 n
2500ns,1098386 n
2875ns,1098387 n
2708ns,1098388 n
4417ns,1098389 n
3875ns,1098390 n
2416ns,1098391 n
3291ns,1098392 n
3500ns,1098393 n
2833ns,1098394 n
2625ns,1098395 n
2958ns,1098396 n
2417ns,1098397 n
3875ns,1098398 n
2583ns,1098399 n
2584ns,1098400 n
2416ns,1098401 n
2750ns,1098402 n
4000ns,1098403 n
3541ns,1098404 n
2834ns,1098405 n
2583ns,1098406 n
7584ns,1098407 n
2583ns,1098408 n
2375ns,1098409 n
2750ns,1098410 n
2834ns,1098411 n
2583ns,1098412 n
5084ns,1098413 n
3042ns,1098414 n
2583ns,1098415 n
4667ns,1098416 n
2708ns,1098417 n
3667ns,1098418 n
2833ns,1098419 n
2834ns,1098420 n
2542ns,1098421 n
4000ns,1098422 n
2375ns,1098423 n
2500ns,1098424 n
3458ns,1098425 n
2667ns,1098426 n
3417ns,1098427 n
3250ns,1098428 n
5042ns,1098429 n
2500ns,1098430 n
3750ns,1098431 n
2583ns,1098432 n
3083ns,1098433 n
2666ns,1098434 n
3667ns,1098435 n
2333ns,1098436 n
4000ns,1098437 n
2542ns,1098438 n
2583ns,1098439 n
2542ns,1098440 n
4250ns,1098441 n
2584ns,1098442 n
2458ns,1098443 n
6125ns,1098444 n
2709ns,1098445 n
3875ns,1098446 n
2916ns,1098447 n
2375ns,1098448 n
3000ns,1098449 n
2875ns,1098450 n
2458ns,1098451 n
5584ns,1098452 n
2958ns,1098453 n
2458ns,1098454 n
2667ns,1098455 n
2625ns,1098456 n
2584ns,1098457 n
2458ns,1098458 n
2583ns,1098459 n
2916ns,1098460 n
2667ns,1098461 n
2917ns,1098462 n
2584ns,1098463 n
2375ns,1098464 n
5875ns,1098465 n
3542ns,1098466 n
4792ns,1098467 n
3542ns,1098468 n
2417ns,1098469 n
2542ns,1098470 n
3000ns,1098471 n
2792ns,1098472 n
3000ns,1098473 n
2541ns,1098474 n
2875ns,1098475 n
3125ns,1098476 n
2750ns,1098477 n
3667ns,1098478 n
2459ns,1098479 n
2708ns,1098480 n
2458ns,1098481 n
2583ns,1098482 n
2541ns,1098483 n
3625ns,1098484 n
2625ns,1098485 n
2958ns,1098486 n
2750ns,1098487 n
3125ns,1098488 n
2916ns,1098489 n
2542ns,1098490 n
3250ns,1098491 n
2583ns,1098492 n
2792ns,1098493 n
2625ns,1098494 n
3625ns,1098495 n
2208ns,1098496 n
9709ns,1098497 n
5000ns,1098498 n
5541ns,1098499 n
3125ns,1098500 n
2666ns,1098501 n
3208ns,1098502 n
2958ns,1098503 n
2584ns,1098504 n
4250ns,1098505 n
2917ns,1098506 n
2625ns,1098507 n
2584ns,1098508 n
2500ns,1098509 n
3041ns,1098510 n
2542ns,1098511 n
3917ns,1098512 n
3167ns,1098513 n
2416ns,1098514 n
2500ns,1098515 n
2417ns,1098516 n
5000ns,1098517 n
2583ns,1098518 n
2542ns,1098519 n
2792ns,1098520 n
4167ns,1098521 n
3208ns,1098522 n
3208ns,1098523 n
2458ns,1098524 n
3750ns,1098525 n
2333ns,1098526 n
3500ns,1098527 n
2625ns,1098528 n
4292ns,1098529 n
3292ns,1098530 n
5208ns,1098531 n
3541ns,1098532 n
2542ns,1098533 n
2584ns,1098534 n
2833ns,1098535 n
3708ns,1098536 n
2750ns,1098537 n
2792ns,1098538 n
2333ns,1098539 n
3000ns,1098540 n
2416ns,1098541 n
2625ns,1098542 n
2625ns,1098543 n
2542ns,1098544 n
3042ns,1098545 n
2917ns,1098546 n
2458ns,1098547 n
2667ns,1098548 n
2375ns,1098549 n
2833ns,1098550 n
6333ns,1098551 n
2458ns,1098552 n
4958ns,1098553 n
3584ns,1098554 n
2625ns,1098555 n
5208ns,1098556 n
2667ns,1098557 n
2834ns,1098558 n
2833ns,1098559 n
2333ns,1098560 n
2333ns,1098561 n
2375ns,1098562 n
6792ns,1098563 n
3750ns,1098564 n
2542ns,1098565 n
4416ns,1098566 n
2542ns,1098567 n
2375ns,1098568 n
4625ns,1098569 n
3000ns,1098570 n
7417ns,1098571 n
2625ns,1098572 n
2583ns,1098573 n
3375ns,1098574 n
2500ns,1098575 n
2708ns,1098576 n
4375ns,1098577 n
2792ns,1098578 n
2583ns,1098579 n
2500ns,1098580 n
2708ns,1098581 n
4375ns,1098582 n
3417ns,1098583 n
3875ns,1098584 n
3125ns,1098585 n
4833ns,1098586 n
2625ns,1098587 n
3875ns,1098588 n
6209ns,1098589 n
2791ns,1098590 n
2375ns,1098591 n
2750ns,1098592 n
2333ns,1098593 n
2625ns,1098594 n
3458ns,1098595 n
5458ns,1098596 n
2750ns,1098597 n
5167ns,1098598 n
3250ns,1098599 n
2750ns,1098600 n
2542ns,1098601 n
6000ns,1098602 n
3000ns,1098603 n
2791ns,1098604 n
2583ns,1098605 n
4875ns,1098606 n
3416ns,1098607 n
2666ns,1098608 n
2917ns,1098609 n
3542ns,1098610 n
4709ns,1098611 n
2958ns,1098612 n
2500ns,1098613 n
2375ns,1098614 n
2833ns,1098615 n
3416ns,1098616 n
2625ns,1098617 n
2500ns,1098618 n
6792ns,1098619 n
4542ns,1098620 n
2791ns,1098621 n
4125ns,1098622 n
2667ns,1098623 n
2542ns,1098624 n
2916ns,1098625 n
2500ns,1098626 n
4542ns,1098627 n
3708ns,1098628 n
3042ns,1098629 n
2625ns,1098630 n
2583ns,1098631 n
4708ns,1098632 n
2583ns,1098633 n
3792ns,1098634 n
2834ns,1098635 n
2416ns,1098636 n
4583ns,1098637 n
2625ns,1098638 n
4000ns,1098639 n
3042ns,1098640 n
2208ns,1098641 n
2917ns,1098642 n
2375ns,1098643 n
2416ns,1098644 n
2667ns,1098645 n
2459ns,1098646 n
2833ns,1098647 n
3417ns,1098648 n
2375ns,1098649 n
2708ns,1098650 n
2458ns,1098651 n
3042ns,1098652 n
4750ns,1098653 n
3834ns,1098654 n
2417ns,1098655 n
2250ns,1098656 n
2833ns,1098657 n
2667ns,1098658 n
2791ns,1098659 n
2875ns,1098660 n
7750ns,1098661 n
2625ns,1098662 n
2458ns,1098663 n
2917ns,1098664 n
2458ns,1098665 n
3792ns,1098666 n
2416ns,1098667 n
2458ns,1098668 n
2750ns,1098669 n
3834ns,1098670 n
3625ns,1098671 n
3334ns,1098672 n
2542ns,1098673 n
4875ns,1098674 n
2458ns,1098675 n
4625ns,1098676 n
4208ns,1098677 n
3167ns,1098678 n
6791ns,1098679 n
2542ns,1098680 n
2667ns,1098681 n
2458ns,1098682 n
4250ns,1098683 n
3084ns,1098684 n
2541ns,1098685 n
4334ns,1098686 n
2875ns,1098687 n
2458ns,1098688 n
2292ns,1098689 n
4042ns,1098690 n
2875ns,1098691 n
2458ns,1098692 n
2916ns,1098693 n
3084ns,1098694 n
2917ns,1098695 n
2542ns,1098696 n
4041ns,1098697 n
3500ns,1098698 n
3209ns,1098699 n
2834ns,1098700 n
4000ns,1098701 n
2750ns,1098702 n
5500ns,1098703 n
2417ns,1098704 n
4209ns,1098705 n
2709ns,1098706 n
2583ns,1098707 n
2583ns,1098708 n
2416ns,1098709 n
2875ns,1098710 n
2833ns,1098711 n
2458ns,1098712 n
2875ns,1098713 n
2667ns,1098714 n
2958ns,1098715 n
2541ns,1098716 n
2834ns,1098717 n
3833ns,1098718 n
4000ns,1098719 n
2625ns,1098720 n
3666ns,1098721 n
5125ns,1098722 n
2834ns,1098723 n
2875ns,1098724 n
3459ns,1098725 n
4167ns,1098726 n
2708ns,1098727 n
2417ns,1098728 n
2708ns,1098729 n
2625ns,1098730 n
2542ns,1098731 n
4542ns,1098732 n
2875ns,1098733 n
2625ns,1098734 n
2959ns,1098735 n
2958ns,1098736 n
2500ns,1098737 n
2834ns,1098738 n
6875ns,1098739 n
2875ns,1098740 n
2666ns,1098741 n
4417ns,1098742 n
4583ns,1098743 n
2625ns,1098744 n
2667ns,1098745 n
2875ns,1098746 n
3084ns,1098747 n
2417ns,1098748 n
4125ns,1098749 n
3292ns,1098750 n
2416ns,1098751 n
1750ns,1098752 n
6625ns,1098753 n
3917ns,1098754 n
2750ns,1098755 n
2959ns,1098756 n
3584ns,1098757 n
2541ns,1098758 n
4333ns,1098759 n
2542ns,1098760 n
2583ns,1098761 n
2625ns,1098762 n
4375ns,1098763 n
2875ns,1098764 n
2875ns,1098765 n
3292ns,1098766 n
6792ns,1098767 n
2708ns,1098768 n
2750ns,1098769 n
2583ns,1098770 n
6167ns,1098771 n
2458ns,1098772 n
2250ns,1098773 n
2959ns,1098774 n
2708ns,1098775 n
2292ns,1098776 n
2792ns,1098777 n
3333ns,1098778 n
2833ns,1098779 n
2708ns,1098780 n
2458ns,1098781 n
2666ns,1098782 n
4083ns,1098783 n
2291ns,1098784 n
2583ns,1098785 n
3084ns,1098786 n
2625ns,1098787 n
2500ns,1098788 n
2833ns,1098789 n
2625ns,1098790 n
2542ns,1098791 n
2792ns,1098792 n
3541ns,1098793 n
4791ns,1098794 n
3000ns,1098795 n
3709ns,1098796 n
2834ns,1098797 n
4125ns,1098798 n
2916ns,1098799 n
3375ns,1098800 n
2500ns,1098801 n
3042ns,1098802 n
3041ns,1098803 n
3584ns,1098804 n
2500ns,1098805 n
2541ns,1098806 n
2667ns,1098807 n
2500ns,1098808 n
5666ns,1098809 n
2791ns,1098810 n
3625ns,1098811 n
2542ns,1098812 n
4000ns,1098813 n
4875ns,1098814 n
2625ns,1098815 n
3500ns,1098816 n
6167ns,1098817 n
2750ns,1098818 n
3167ns,1098819 n
2500ns,1098820 n
2584ns,1098821 n
4417ns,1098822 n
3291ns,1098823 n
2375ns,1098824 n
2375ns,1098825 n
2875ns,1098826 n
3583ns,1098827 n
3000ns,1098828 n
3125ns,1098829 n
2833ns,1098830 n
2541ns,1098831 n
2625ns,1098832 n
2292ns,1098833 n
2667ns,1098834 n
2667ns,1098835 n
2542ns,1098836 n
4750ns,1098837 n
2500ns,1098838 n
2916ns,1098839 n
2709ns,1098840 n
3166ns,1098841 n
2417ns,1098842 n
4708ns,1098843 n
2583ns,1098844 n
2875ns,1098845 n
3208ns,1098846 n
2583ns,1098847 n
2500ns,1098848 n
4083ns,1098849 n
2583ns,1098850 n
4167ns,1098851 n
2833ns,1098852 n
2417ns,1098853 n
4250ns,1098854 n
3125ns,1098855 n
2875ns,1098856 n
2500ns,1098857 n
4417ns,1098858 n
5083ns,1098859 n
3208ns,1098860 n
2750ns,1098861 n
2667ns,1098862 n
3000ns,1098863 n
3000ns,1098864 n
3125ns,1098865 n
3417ns,1098866 n
4166ns,1098867 n
3458ns,1098868 n
3375ns,1098869 n
2833ns,1098870 n
2583ns,1098871 n
2459ns,1098872 n
2917ns,1098873 n
2708ns,1098874 n
4042ns,1098875 n
2917ns,1098876 n
3667ns,1098877 n
4583ns,1098878 n
2542ns,1098879 n
2125ns,1098880 n
4625ns,1098881 n
3791ns,1098882 n
4834ns,1098883 n
2375ns,1098884 n
2750ns,1098885 n
2458ns,1098886 n
5375ns,1098887 n
